,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,,,,,,,,,,,,,,,,
,T100,T50,GP,,,T100,T50,GP,,,T100,T50,GP,,RS,PLAYOFFS
,13,7,40,colt (coltyvoelte),,0,0,8,nosey,,24,13,48,mordred (kay),27,21
,11,2,40,zooch5,,2,2,8,gavinlub,,8,5,48,galaxygiraffe (islam),44,4
,5,3,40,dg_4,,1,1,8,oldfriend99,,11,5,48,gschmoney,31,17
,14,7,40,trylq,,4,1,8,pritchard,,9,5,48,cfbelite (mlbelite),48,
,15,10,40,virgil (nick_),,3,1,8,dxvxn,,25,9,48,masdog2222,28,20
,3,2,40,playexplainer,,0,0,8,jensive,,22,11,48,corbin (tyus),31,17
,16,9,40,davidv03,,2,0,8,frostyy,,17,9,48,frostyy,40,8
,8,5,40,murray (pelss),,3,1,8,louseal,,10,5,47,sha.ne (shane),38,9
,15,9,40,frostyy,,2,2,7,herro,,21,14,47,emvpiid70,38,9
,1,0,39,j.p (j.p574),,4,1,7,osach,,18,11,47,neev,42,5
,15,8,39,coded (strider),,4,2,7,tocki,,20,12,47,kane,42,5
,4,2,39,thiccthanos,,0,0,7,car.son,,13,7,47,maxp,44,3
,6,4,39,jrc (casas),,0,0,7,nathans1215,,20,10,46,etan_ (etan_o),33,13
,4,3,39,tacko,,0,0,7,michael,,21,16,46,wednesdaychicken,27,19
,7,2,39,mpls (chrisrichards) (trey.jemison),,2,1,7,jacksonbynum,,12,9,46,target (callingitontarget),46,
,18,11,39,zyn,,4,3,7,heatloyalist,,12,7,46,gavinlub,38,8
,14,5,39,sweat,,1,0,7,zyn,,19,11,46,zyn,39,7
,9,5,39,joelembiid,,1,1,7,zero,,18,9,46,dillon,37,9
,14,9,39,xo,,4,3,7,zupacam (camnewtondabest),,8,7,46,siri,44,2
,15,11,38,jxr,,4,1,7,brax__,,16,6,46,khys9575,41,5
,6,4,38,614s_finest,,4,3,7,clutch (giannis),,11,4,45,lubob,29,16
,10,5,38,gavinlub,,0,0,7,crogerl,,9,3,45,casty (quinn__) (ward),42,3
,8,4,38,sha.ne (shane),,1,0,7,ballingpm,,9,4,45,dane,41,4
,13,6,38,👻,,1,1,7,rzk,,15,8,45,trylq,40,5
,19,14,38,emvpiid70,,1,0,7,jonah,,14,4,45,brandonmiller,45,
,7,4,38,buck,,1,1,6,shabddd (depressedbravesfan911),,16,7,45,arttheclown_,43,2
,15,10,38,snivy,,0,0,6,giannis_is_my_dad,,16,11,44,jxr,38,6
,14,6,38,winslowforprez,,0,0,6,cay1 (cay),,4,3,44,playexplainer,40,4
,13,6,38,garland,,1,0,6,jxr,,7,1,44,crqmer,29,15
,22,16,38,fun,,2,1,6,zander44,,20,13,44,poolepartyjp3,43,1
,16,10,38,toasty,,2,0,6,smokey,,24,15,44,ederick2442,44,
,13,7,37,leow,,2,0,6,uelito,,20,11,44,rzk,37,7
,8,5,37,gsw (chi),,3,2,6,cartercrash,,6,4,43,wade,40,3
,11,8,37,raffe (alecbohm28),,1,0,6,adrian (dri),,4,1,43,yankees.hub,43,
,9,6,37,jacman17,,1,0,6,baldwin (yamal19),,11,7,43,dawgsnation,29,14
,4,3,37,ig (aura) (cassandre),,1,1,6,okoro,,26,23,43,lebron23goat6,28,15
,9,4,37,townes,,2,1,6,robert,,12,8,43,goodbyesosoon,41,2
,25,19,37,xpr0gidy,,0,0,6,pnwsavant,,15,7,43,winslowforprez,38,5
,9,5,37,aiden,,2,2,6,gaston (russell),,18,11,43,yaxel (🚀📈🔥),29,14
,8,4,37,bacot (bacotlover),,2,2,6,trixsta,,18,11,43,toasty,38,5
,17,9,37,dillon,,2,2,6,tranglerz,,16,7,42,tocki,35,7
,20,14,37,psyklone,,2,2,6,five,,3,1,42,franklindog (embiid),42,
,19,10,37,rzk,,2,0,6,newton,,8,4,42,christian,31,11
,8,2,36,bucky_,,1,1,5,jags (cookedbyjags),,7,6,42,heatloyalist (lilboat),35,7
,6,1,36,shabd,,0,0,5,antcoppola18,,10,4,42,townes,37,5
,4,3,36,tsukiko,,1,1,5,wittjr,,15,7,42,👻,38,4
,7,3,36,clarke (ww98),,2,0,5,kc,,17,10,42,snivy,38,4
,9,9,36,twistex,,2,2,5,mybalzich,,5,1,41,smokey,35,6
,11,5,36,sotonyc (diaz),,1,0,5,drob,,14,8,41,leow,37,4
,3,1,35,smokey,,1,1,5,quickley (bichette),,18,14,41,jakefromstatenothing,29,12
,12,5,35,tocki,,0,0,5,david_,,12,8,41,raffe (alecbohm28),37,4
,6,4,35,mad,,0,0,5,chrxstian (okc),,4,3,41,ig (aura) (cassandre),37,4
,3,3,35,heatloyalist (lilboat),,2,1,5,bl,,15,5,41,sweat,39,2
,13,7,35,rockymountain (mellusi) (timelord) (melendez) (castellanos),,0,0,5,bear.5,,12,7,41,pnwsavant,35,6
,6,4,35,liam (bad) (li.am),,1,0,5,townes,,8,4,41,bacot (bacotlover),37,4
,12,7,35,pnwsavant,,1,1,5,winn_enthusiast,,13,6,41,sotonyc (diaz),36,5
,9,7,35,jameswyo,,1,1,5,corum (lxst),,13,5,41,notkiddo (kiddo),24,17
,6,1,35,xxyn,,2,2,5,garrett,,7,4,40,bashfulgoon (ytmp_melly),40,
,13,11,34,heim (boban),,0,0,5,trickyy,,13,7,40,colt (coltyvoelte),40,
,7,3,34,schmiddy,,1,1,5,baty,,11,2,40,zooch5,40,
,6,3,34,idxstyew,,1,1,5,am (coby),,10,5,40,aholl173,32,8
,13,8,34,snowy (snowyosu),,1,0,5,burning,,6,4,40,jrc (casas),39,1
,11,7,34,devonta (dejean),,1,1,5,trylq,,10,7,40,luv,21,19
,14,8,34,maxverstappen_ (relaxedp),,1,0,5,idxstyew,,10,6,40,jaylenszn,30,10
,15,8,33,etan_ (etan_o),,0,0,5,rowan,,20,12,40,yogiferrell,29,11
,2,0,33,giantsfootball (uncbasketball),,1,1,5,sasser,,1,0,39,j.p (j.p574),39,
,17,10,33,uelito,,0,0,5,kencarsonlistener (drakelistener),,4,2,39,thiccthanos,39,
,1,1,33,kumingaszn,,1,1,5,devonta (dejean),,4,3,39,tacko,39,
,5,1,33,fernando (iconic) (evanchampion),,1,1,5,winslowforprez,,7,2,39,mpls (chrisrichards) (trey.jemison),39,
,7,2,32,grant (whosgrant),,1,0,5,tay,,16,8,39,camnewtondabest (zcamnewton) (zupacam),32,7
